Id,State,Asian,Native Hawaiian,Black or African American,American Indian or Alaska Native,White,Unknown
0,United States,,,,,,
1,Alabama,1,0,36,0,47,1
2,Alaska,,,,,,
3,Arizona,7,0,57,22,841,29
4,Arkansas,72,0,6606,52,9130,360
5,California,,,,,,
6,Colorado,329,0,2781,124,17407,649
7,Connecticut,66,0,1335,68,3036,244
8,Delaware,69,0,2173,16,2269,55
9,Florida,,,,,,
10,Georgia,,,,,,
11,Hawaii,,,,,,
12,Idaho,23,0,76,45,3172,449
13,Illinois,15,0,1259,6,1102,55
14,Indiana,3,0,203,1,786,15
15,Iowa,111,0,1556,77,6862,264
16,Kansas,107,0,1878,65,7143,69
17,Kentucky,81,0,3218,12,7340,221
18,Louisiana,4,0,1662,7,1234,54
19,Maine,1,0,37,2,561,8
20,Maryland,,,,,,
21,Massachusetts,376,0,2877,46,14091,1359
22,Michigan,227,0,21942,90,21027,1440
23,Minnesota,,,,,,
24,Mississippi,,,,,,
25,Missouri,54,0,5307,6,4732,116
26,Montana,21,0,78,516,2786,227
27,Nebraska,5,0,79,42,1199,18
28,Nevada,,,,,,
29,New Hampshire,19,0,148,3,2312,92
30,New Jersey,,,,,,
31,New Mexico,,,,,,
32,New York,,,,,,
33,North Carolina,,,,,,
34,North Dakota,17,0,222,276,1201,61
35,Ohio,205,0,13646,54,15460,1034
36,Oklahoma,11,0,454,350,3483,402
37,Oregon,231,0,803,95,9225,652
38,Pennsylvania,5,0,29,0,77,4
39,Rhode Island,41,0,576,7,1802,82
40,South Carolina,160,0,13186,82,12523,284
41,South Dakota,9,0,172,710,1419,173
42,Tennessee,365,0,20938,119,24500,283
43,Texas,445,0,5349,28,13004,346
44,Utah,204,0,362,125,5089,828
45,Vermont,12,0,55,0,951,11
46,Virginia,375,0,7944,31,9692,386
47,Washington,1139,0,2968,391,15546,1703
48,West Virginia,7,0,638,2,4622,292
49,Wisconsin,248,0,7887,247,6834,158
50,Wyoming,,,,,,
