Id,State,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average
0,United States,471.7739346,458.6141767,431.8787335,404.5023483,387.0597431,387.7537551,369.1333693,361.5538543,373.7371891,397.5208433,393.9651352,403.4084621
1,Alabama,448.912465,452.8196658,450.1022361,383.7295976,419.8023644,450.2931794,430.9891858,427.6773059,472.9623239,532.4094315,524.150279,453.9861849
2,Alaska,661.3234076,652.0538604,633.3816769,635.3042655,610.0627193,604.1294962,638.7171944,635.5098596,730.7759564,804.5614291,829.0134429,675.8939371
3,Arizona,518.0039298,485.6327056,426.4546199,413.6495624,414.2213577,428.5813069,415.6143552,392.6713048,410.2344459,471.0332363,508.0192182,444.0105493
4,Arkansas,537.1107702,513.0297437,515.8421153,503.5275337,482.3074531,469.552801,463.2000176,480.2424132,529.5425933,554.2744185,554.9085155,509.4125796
5,California,524.0606059,504.205142,473.284969,439.5846848,411.1646202,423.5382019,402.6369796,396.3751458,427.9716284,444.813423,449.2717176,445.1733744
6,Colorado,351.7627735,353.8851242,338.7632574,323.6924915,314.3872273,307.3731399,305.3630005,307.8466828,318.3809189,344.1164318,368.0655106,330.3305962
7,Connecticut,301.144188,306.6617313,300.9418217,282.0026749,275.7117442,283.5096394,262.2424494,238.5415224,221.4392716,227.6955753,227.970472,266.16919
8,Delaware,705.3947667,708.6309347,645.4477462,623.2551523,566.4343596,550.4589157,500.7349444,488.0508735,504.196696,510.0252126,453.3551504,568.7258866
9,Florida,722.5699641,688.8567104,612.4780983,541.2765791,514.6035622,486.9738746,469.3445936,458.89168,462.4618312,429.4029377,408.0412116,526.8091857
10,Georgia,491.5477095,488.8937804,428.0404602,402.2587361,374.6461132,379.955073,375.3867402,385.802622,381.3068183,390.4351721,357.240829,405.0467322
11,Hawaii,276.1440811,272.4736415,274.0935995,264.2737533,251.4278417,243.0058485,254.4381176,236.7177208,293.4472755,241.6211294,250.5712633,259.8376611
12,Idaho,256.1687926,241.4989736,246.1507012,220.4821838,202.1791401,209.8283394,215.2100359,210.3613517,217.3849911,230.7107152,226.4489852,225.1294736
13,Illinois,533.1861044,525.3627022,497.1569839,444.8846673,423.9817378,416.1890031,403.0548886,370.860884,387.5287628,436.702996,438.8368932,443.4314203
14,Indiana,335.8397072,337.5521736,334.028064,323.2818057,331.7653295,344.8264258,359.5804595,365.3446258,383.6971144,399.698101,398.9609436,355.8704318
15,Iowa,300.1961817,288.1212834,282.0946216,268.5395918,257.2699232,265.5901275,273.0293975,272.84296,276.0732954,292.8899293,293.4153837,279.0966086
16,Kansas,458.5739826,412.3286038,406.5636256,370.8104142,355.6664504,356.6925603,342.8412381,352.6261952,395.0499549,401.1719103,412.9588761,387.7530738
17,Kentucky,290.6772504,297.2422524,254.9770949,243.925835,239.6484027,224.9453733,210.9290812,215.1784304,223.4546721,235.6116717,225.7650046,242.032279
18,Louisiana,740.4493241,671.3754161,642.8653478,555.3156274,554.6294608,496.269774,521.1821094,515.8754912,539.777595,565.0045442,557.0056612,578.1591228
19,Maine,118.8120015,119.4115109,119.8512328,122.120359,123.292868,122.393585,132.5353616,127.6446037,129.8278314,123.9633387,121.0413599,123.7176411
20,Maryland,641.8795289,628.2487015,589.9663092,546.2969701,493.4779467,477.2579436,475.4377909,447.9573233,470.143118,481.6629797,500.2001759,522.9571625
21,Massachusetts,441.6756916,463.7912135,462.6161754,468.8758968,427.3041801,407.0092816,406.3871225,395.0926734,389.9183991,380.6574155,358.0269392,418.304999
22,Michigan,533.8160265,514.9437862,499.7629323,492.9866865,442.7648183,454.964974,452.1734422,429.1416582,420.5807487,460.8874363,449.9558386,468.361668
23,Minnesota,289.6325069,265.3631633,244.4640495,235.6581802,230.452795,230.8516211,234.4127509,229.1499645,242.9394968,241.8982634,238.3349299,243.9234292
24,Mississippi,291.2855863,304.2926981,286.2808757,269.3200704,268.9879316,260.1416397,277.4875794,278.3082892,273.9689368,281.736375,285.7142857,279.7749335
25,Missouri,560.7293803,502.4185479,492.9036439,457.660179,447.4633316,451.3055144,433.6866825,443.3173968,498.5349406,520.7532995,530.2990154,485.3701756
26,Montana,379.8045854,311.4405028,286.9775967,275.7937269,276.1442445,278.7684462,288.1174226,328.4625879,353.366477,374.1373467,377.0610561,320.9158175
27,Nebraska,311.2865025,312.3191689,289.3768796,278.2845693,253.6051338,258.8190907,264.7983995,276.2111122,272.8427234,296.7598604,305.8733092,283.6524318
28,Nevada,754.8583408,729.6839011,705.1986599,662.9853458,568.0823874,608.6000565,604.9807021,635.70168,697.6313546,677.8590758,555.9300596,654.6828694
29,New Hampshire,144.091781,156.1016835,160.4288168,167.3745659,217.3307624,214.9639419,223.1940336,197.666258,202.3891239,199.8479418,198.6900458,189.279905
30,New Jersey,328.6237958,326.5243224,311.366705,307.4574017,307.9083073,290.1187212,288.9299694,260.8726587,256.048372,243.4839286,228.7898567,286.3749126
31,New Mexico,675.7144344,653.4613749,632.3920682,587.9724848,572.6727712,559.6244853,622.4558495,597.6791923,657.2040563,699.3754771,783.4507464,640.1820855
32,New York,414.3596379,397.8697708,384.3624115,394.3861179,397.2132361,406.2857179,393.8071699,384.6905983,380.4390733,374.6417046,356.6808244,389.5214784
33,North Carolina,466.0727387,467.6107579,404.5034562,362.7421672,346.2920249,353.5362446,341.0222667,329.1421149,346.1221347,371.8436195,363.6958641,377.5075808
34,North Dakota,209.9372377,224.6364273,266.3702531,229.459451,248.1233753,245.6708182,273.396541,270.3907897,257.5198029,252.1348743,281.3105231,250.8136449
35,Ohio,355.4486354,352.0487275,331.8563466,314.6654593,305.1553474,301.4533589,291.4101748,285.6773796,296.1889998,307.6690373,297.4883196,312.6419806
36,Oklahoma,504.0753973,531.4959171,503.3834637,481.3594228,457.4591528,474.3984192,446.0543383,413.7529288,428.569893,455.3444896,456.2355757,468.3753635
37,Oregon,293.9328157,261.4470483,260.5565528,251.3591841,249.2872061,247.1408156,242.7656548,259.2162272,265.3657451,268.796612,281.7917261,261.9690535
38,Pennsylvania,416.6883834,410.0486501,382.2998077,366.5121788,362.4387042,355.5492882,335.0599188,314.9815062,315.418252,315.857758,313.3019724,353.4687655
39,Rhode Island,229.1479176,252.7626886,254.2705199,257.3803262,246.1342831,252.9743769,257.2734332,219.9246,242.9881575,239.1340115,232.1545356,244.0131682
40,South Carolina,785.6689269,730.9701326,675.2327546,602.1643672,596.8740184,560.4840733,508.4526614,497.7677277,499.4653547,506.8125429,506.173014,588.1877794
41,South Dakota,241.894767,276.92323,218.7391908,268.9205705,255.5874079,323.8426611,323.236863,328.2534712,384.8848201,422.0339809,433.6147441,316.1756097
42,Tennessee,754.980047,722.6678904,665.9991798,612.0234635,607.7546018,638.4748116,585.8307544,610.7261714,618.8878457,638.5384314,651.5054235,646.1262382
43,Texas,510.4252861,508.0163279,491.0116905,448.3780563,408.6099685,408.5638827,410.3164923,406.6521473,412.6667507,433.8455428,438.9322497,443.4016722
44,Utah,239.932258,225.2940334,215.401146,213.4766647,197.0972307,208.0304154,228.8834834,219.5280825,238.6786472,243.2726378,238.8910041,224.4077821
45,Vermont,129.0937362,137.4603634,134.617859,131.0094598,147.6239722,142.3429555,123.6330571,102.5899577,119.3123011,136.5195379,165.796263,133.6363148
46,Virginia,272.7535243,257.8294572,230.8251476,214.1587818,197.5967575,191.4829891,197.754749,198.3886357,199.6393942,219.8022908,208.1695203,217.1273861
47,Washington,336.5271046,334.2075336,336.304685,313.4829711,295.3423924,298.0718221,289.9877856,285.7783606,286.3710827,303.5462209,304.4664121,307.6442155
48,West Virginia,276.8158452,275.8935401,305.2022308,301.2347064,296.3489294,320.087468,305.190724,316.4298491,347.4641958,362.7291803,350.6884077,314.3713706
49,Wisconsin,291.5217686,275.5346646,259.0731301,248.9080952,249.8842788,283.9347834,280.6570069,291.0530066,304.2533224,306.8812526,319.8870569,282.8716696
50,Wyoming,257.0625251,249.6864839,219.7438771,197.8552982,219.4389413,201.3436786,207.8107345,195.4462061,221.6330949,244.6530235,237.5219009,222.9268876
